"short_name","overall","potential","value_eur","wage_eur","age","dob","club_name","height_cm","weight_kg","league_name","player_positions","nationality_name","preferred_foot","weak_foot","pace","shooting","passing","dribbling","defending","physic","year","Type"
"K. Tezuka",66,70,1100000,1000,25,"1996-04-06","Yokohama FC",176,66,"Japanese J. League Division 1","CDM","Japan","Left",3,73,57,70,61,62,62,2022,"MID"
"J. Augustinsson",66,71,1200000,2000,25,"1996-03-30","Rosenborg BK",185,81,"Norwegian Eliteserien","LB","Sweden","Left",4,78,49,62,63,59,72,2022,"DEF"
"Iván González",66,66,575000,700,31,"1990-02-02","FC Goa",181,73,"Indian Super League","CB","Spain","Right",3,67,46,52,53,65,79,2022,"DEF"
"P. Sabbag",66,72,1400000,4000,24,"1997-06-11","Newell's Old Boys",188,82,"Argentina Primera División","ST","Colombia","Left",4,58,66,44,61,32,68,2022,"FRD"
"F. Stokkers",66,68,1100000,3000,25,"1996-04-18","RKC Waalwijk",186,79,"Holland Eredivisie","ST","Netherlands","Right",3,71,66,43,66,29,69,2022,"FRD"
"S. Fujita",66,66,4e+05,2000,34,"1987-06-02","Tokushima Vortis",175,70,"Japanese J. League Division 1","RM","Japan","Right",3,74,50,62,66,50,71,2022,"MID"
"A. Skovgaard",66,71,1200000,1000,24,"1997-03-27","Örebro SK",185,75,"Swedish Allsvenskan","CB","Denmark","Left",3,52,27,47,48,65,73,2022,"DEF"
"P. Tietz",66,72,1400000,5000,23,"1997-07-09","SV Darmstadt 98",190,89,"German 2. Bundesliga","ST","Germany","Right",3,63,67,51,64,32,74,2022,"FRD"
"T. Nara",66,68,9e+05,3000,27,"1993-09-19","Avispa Fukuoka",180,74,"Japanese J. League Division 1","CB","Japan","Right",2,71,38,43,53,65,71,2022,"DEF"
"Y. Kakita",66,72,1400000,3000,23,"1997-07-14","Tokushima Vortis",187,78,"Japanese J. League Division 1","ST","Japan","Right",3,78,64,57,62,42,73,2022,"FRD"
"A. Dozzell",66,73,1700000,5000,22,"1999-05-02","Queens Park Rangers",182,64,"English League Championship","CM","England","Left",4,73,59,65,68,61,64,2022,"MID"
"C. Benitez",66,66,625000,500,31,"1990-05-22","12 de Octubre FC",177,75,"Paraguayan Primera División","RB","Paraguay","Right",3,70,44,53,62,64,69,2022,"DEF"
"S. Ramírez",66,72,1300000,950,22,"1998-11-03","Unión La Calera",178,66,"Chilian Campeonato Nacional","RB","Chile","Right",3,71,46,60,62,62,65,2022,"DEF"
"Verdasca",66,71,1200000,2000,24,"1996-10-26","Slask Wroclaw",185,81,"Polish T-Mobile Ekstraklasa","CB","Portugal","Right",3,67,36,49,55,64,77,2022,"DEF"
"J. Osei-Tutu",66,77,1800000,15000,22,"1998-10-02","Nottingham Forest",176,70,"English League Championship","RB","England","Right",3,88,59,57,70,60,62,2022,"DEF"
"A. Schetino",66,68,925000,500,27,"1994-05-26","Centro Atlético Fénix",186,76,"Uruguayan Primera División","CDM","Uruguay","Right",3,39,49,57,59,63,74,2022,"MID"
"Elgezabal",66,68,850000,2000,28,"1993-04-25","Burgos CF",185,74,"Spanish Segunda División","CB","Spain","Right",3,55,33,52,49,67,68,2022,"DEF"
"C. McLennan",66,76,1900000,2000,21,"1999-10-05","Aberdeen",182,69,"Scottish Premiership","RM","Scotland","Right",3,81,60,59,64,45,62,2022,"MID"
"S. Edera",66,71,1300000,10000,24,"1997-01-09","Torino F.C.",174,70,"Italian Serie A","CAM","Italy","Left",3,62,66,63,71,39,35,2022,"MID"
"T. Bakinson",66,75,1900000,9000,22,"1998-10-10","Bristol City",191,82,"English League Championship","CM","England","Right",3,65,57,61,66,66,73,2022,"MID"
"S. Sinyan",66,73,1600000,2000,24,"1996-07-19","Molde FK",188,80,"Norwegian Eliteserien","CB","Gambia","Right",2,74,43,52,57,64,73,2022,"DEF"
"D. Florea",66,66,550000,3000,33,"1988-04-17","AFC Chindia Târgovi<U+0219>te",173,63,"Romanian Liga I","ST","Romania","Right",3,73,67,58,68,31,61,2022,"FRD"
"G. Fechner",66,73,1600000,2000,23,"1997-09-05","SV Wehen Wiesbaden",188,78,"German 3. Bundesliga","CB","Germany","Right",3,65,41,56,58,64,75,2022,"DEF"
"J. Chicco",66,71,1200000,3000,23,"1998-01-13","Club Atlético Sarmiento",186,73,"Argentina Primera División","CDM","Argentina","Right",3,55,50,61,62,64,65,2022,"MID"
"Alan Besseiro",66,66,750000,5000,29,"1992-02-29","Associação Chapecoense de Futebol",174,68,"Campeonato Brasileiro Série A","LB","Brazil","Left",3,82,47,60,62,61,62,2022,"DEF"
"Welliton Helmes",66,66,1e+06,6000,21,"2000-02-29","Internacional",172,69,"Campeonato Brasileiro Série A","CAM","Brazil","Right",3,71,63,61,71,30,56,2022,"MID"
"J. Hove",66,80,2100000,1000,20,"2000-09-07","Strømsgodset IF",177,72,"Norwegian Eliteserien","CM","Norway","Right",3,71,63,65,68,57,67,2022,"MID"
"K. Thiam",66,69,975000,4000,27,"1994-01-07","Altay SK",186,79,"Turkish Süper Lig","CDM","Senegal","Right",2,68,55,61,58,63,72,2022,"MID"
"Felipe Araruna",66,69,1e+06,7000,25,"1996-03-12","Reading",175,70,"English League Championship","RB","Brazil","Right",2,72,32,61,64,61,60,2022,"DEF"
"W. Janssens",66,68,975000,4000,25,"1995-08-01","Sint-Truidense VV",185,70,"Belgian Jupiler Pro League","RB","Belgium","Right",3,68,63,55,63,67,61,2022,"DEF"
"A. El Mahdioui",66,70,1100000,2000,25,"1996-05-24","Wisla Kraków",182,71,"Polish T-Mobile Ekstraklasa","CDM","Netherlands","Right",4,65,52,66,67,62,60,2022,"MID"
"C. Rizzuto",66,66,750000,4000,29,"1992-01-05","F.C. Hansa Rostock",170,72,"German 2. Bundesliga","RB","Germany","Right",3,75,48,62,68,59,71,2022,"DEF"
"N. Jambor",66,71,1200000,4000,25,"1995-09-25","Moreirense FC",188,84,"Portuguese Liga ZON SAGRES","CM","Croatia","Left",4,65,52,65,67,63,69,2022,"MID"
"J. Odgaard",66,74,1900000,9000,22,"1999-03-31","RKC Waalwijk",188,80,"Holland Eredivisie","ST","Denmark","Left",3,68,64,50,67,35,67,2022,"FRD"
"B. Piñatares",66,66,6e+05,500,31,"1990-06-25","Barcelona Sporting Club",183,78,"Ecuadorian Serie A","CDM","Uruguay","Right",3,59,51,60,61,62,68,2022,"MID"
"K. Andric",66,68,1100000,500,26,"1995-07-01","Dinamo Zagreb",189,86,"Croatian Prva HNL","ST","Serbia","Right",3,65,66,50,66,22,67,2022,"FRD"
"C. Pring",66,72,1300000,8000,23,"1998-01-22","Bristol City",185,71,"English League Championship","LB","England","Left",2,80,46,56,63,60,68,2022,"DEF"
"S. Chabbi",66,66,925000,4000,27,"1993-07-04","SV Ried",189,77,"Austrian Football Bundesliga","ST","Tunisia","Right",3,69,65,52,63,24,66,2022,"FRD"
"E. Serje",66,73,1600000,1000,25,"1996-01-10","Club Independiente Santa Fe",178,72,"Colombian Liga Postobón","CDM","Colombia","Right",3,60,48,54,62,61,69,2022,"MID"
"T. Makowski",66,72,1300000,2000,21,"1999-07-19","Lechia Gdansk",181,76,"Polish T-Mobile Ekstraklasa","CDM","Poland","Right",3,70,53,58,63,61,72,2022,"MID"
"M. Finotto",66,66,875000,2000,28,"1992-12-28","AC Monza",183,72,"Italian Serie B","ST","Italy","Left",2,82,62,57,65,35,67,2022,"FRD"
"G. Vrioni",66,74,1900000,17000,22,"1998-10-15","WSG Tirol",188,73,"Austrian Football Bundesliga","ST","Albania","Left",4,77,66,50,65,23,60,2022,"FRD"
"M. Svensson",66,73,1700000,3000,23,"1998-06-19","Willem II",165,68,"Holland Eredivisie","LW","Sweden","Right",3,81,59,60,69,31,48,2022,"FRD"
"Pité",66,66,925000,2000,26,"1994-08-22","FC Arouca",189,78,"Portuguese Liga ZON SAGRES","LM","Portugal","Left",3,56,58,63,67,65,68,2022,"MID"
"I. Jebali",66,66,850000,5000,29,"1991-12-25","Odense Boldklub",186,84,"Danish Superliga","ST","Tunisia","Right",3,71,65,62,71,38,70,2022,"FRD"
"R. Nicolaisen",66,71,1200000,2000,24,"1997-03-16","Toulouse Football Club",190,82,"French Ligue 2","CB","Denmark","Left",3,61,41,50,55,65,73,2022,"DEF"
"L. Bogdan",66,71,1100000,10000,25,"1996-03-26","US Salernitana 1919",195,76,"Italian Serie A","CB","Croatia","Right",2,54,32,44,50,67,68,2022,"DEF"
"E. Moore",66,69,1e+06,3000,24,"1997-03-16","Oxford United",197,92,"English League One","CB","England","Right",2,48,31,45,46,65,80,2022,"DEF"
"N. Dovedan",66,66,950000,5000,26,"1994-07-06","1. FC Nürnberg",171,70,"German 2. Bundesliga","CF","Austria","Right",4,79,63,60,72,34,57,2022,"FRD"
"O. Rathbone",66,72,1300000,3000,24,"1996-10-10","Rotherham United",176,76,"English League One","CM","England","Right",3,78,60,62,69,59,67,2022,"MID"
"R. Kaib",66,70,1100000,2000,24,"1997-05-08","SC Heerenveen",178,63,"Holland Eredivisie","LB","Sweden","Left",2,80,46,63,65,58,64,2022,"DEF"
"I. Sacko",66,72,1400000,8000,23,"1997-07-19","OGC Nice",183,70,"French Ligue 1","ST","France","Right",3,81,64,60,69,40,58,2022,"FRD"
"T. Campanini",66,72,1300000,2000,22,"1998-07-27","Paris FC",179,79,"French Ligue 2","RB","France","Right",3,61,46,59,63,66,66,2022,"DEF"
"O. Dale",66,72,1400000,3000,22,"1998-11-01","Blackpool",175,65,"English League Championship","RM","England","Right",3,84,61,57,67,29,56,2022,"MID"
"T. Lowery",66,73,1700000,3000,23,"1997-12-31","Crewe Alexandra",168,75,"English League One","CM","England","Right",3,70,56,63,70,57,57,2022,"MID"
"J. Asoro",66,73,1800000,3000,22,"1999-04-27","Djurgårdens IF",175,75,"Swedish Allsvenskan","ST","Sweden","Right",3,88,62,54,71,21,57,2022,"FRD"
"R. Guitane",66,77,1900000,6000,22,"1999-05-26","Clube Sport Marítimo",170,58,"Portuguese Liga ZON SAGRES","CAM","France","Left",3,75,54,63,73,30,39,2022,"MID"
"G. Goñi",66,73,1600000,3000,22,"1998-08-16","Arsenal de Sarandí",187,83,"Argentina Primera División","CB","Argentina","Right",2,61,28,43,46,64,74,2022,"DEF"
"C. González",66,73,1600000,2000,24,"1996-07-23","Santa Clara",185,80,"Portuguese Liga ZON SAGRES","CB","Uruguay","Right",3,66,35,54,56,66,66,2022,"DEF"
"P. Clement",66,71,1200000,3000,25,"1996-05-19","PEC Zwolle",177,67,"Holland Eredivisie","CM","Netherlands","Right",3,63,60,67,68,57,59,2022,"MID"
"D. Batty",66,73,1700000,3000,23,"1997-12-10","Fleetwood Town",178,73,"English League One","CM","England","Right",3,66,57,62,66,64,68,2022,"MID"
"T. Sibbick",66,74,1800000,10000,22,"1999-05-23","Barnsley",189,69,"English League Championship","CB","England","Right",3,75,31,50,59,66,66,2022,"DEF"
"H. Kane",66,74,1900000,11000,22,"1998-11-23","Oxford United",175,67,"English League One","CM","England","Right",3,70,59,64,65,55,60,2022,"MID"
"L. Caicedo",66,67,8e+05,500,29,"1992-05-11","LDU Quito",185,70,"Ecuadorian Serie A","CB","Ecuador","Right",3,44,28,47,35,66,75,2022,"DEF"
"M. Borgnino",66,72,1400000,4000,23,"1997-10-25","Unión de Santa Fe",176,70,"Argentina Primera División","LW","Argentina","Left",3,83,63,60,71,31,61,2022,"FRD"
"D. Graovac",66,68,9e+05,5000,27,"1993-08-08","CFR Cluj",185,73,"Romanian Liga I","CB","Bosnia and Herzegovina","Right",3,59,40,57,45,66,73,2022,"DEF"
"D. Gudelj",66,73,1600000,7000,23,"1997-11-08","Cádiz CF",186,75,"Spain Primera Division","LB","Serbia","Left",2,75,32,52,64,63,49,2022,"DEF"
"R. Alfani",66,67,9e+05,500,25,"1996-02-18","Carlos A. Mannucci",186,79,"Peruvian Primera División","CB","Argentina","Right",3,61,33,47,46,66,66,2022,"DEF"
"M. Farfan",66,74,1800000,2000,22,"1998-11-12","Los Angeles FC",175,68,"USA Major League Soccer","LB","United States","Left",3,70,35,51,66,63,68,2022,"DEF"
"T. Vlietinck",66,71,1200000,6000,23,"1997-08-19","Oud-Heverlee Leuven",179,69,"Belgian Jupiler Pro League","RB","Belgium","Right",4,77,57,64,68,60,55,2022,"DEF"
"D. Lavalée",66,72,1200000,6000,24,"1997-01-13","Sint-Truidense VV",188,85,"Belgian Jupiler Pro League","CB","Belgium","Left",2,63,29,62,62,65,68,2022,"DEF"
"A. Hopmark",66,66,725000,1000,29,"1991-07-06","Kristiansund BK",192,88,"Norwegian Eliteserien","CB","Norway","Right",3,37,42,55,56,65,77,2022,"DEF"
"W. Mazzantti",66,69,1200000,2000,24,"1996-09-05","CD Huachipato",174,68,"Chilian Campeonato Nacional","RW","Argentina","Right",2,80,64,54,68,21,59,2022,"FRD"
"A. Jung",66,73,1700000,4000,23,"1997-10-08","AS Nancy Lorraine",190,85,"French Ligue 2","ST","France","Right",3,57,66,46,61,30,74,2022,"FRD"
"M. Mehlem",66,68,950000,5000,26,"1995-03-01","SC Paderborn 07",176,72,"German 2. Bundesliga","CDM","Germany","Right",4,78,38,55,63,63,75,2022,"MID"
"Arribas",66,76,1900000,3000,22,"1998-10-28","AD Alcorcón",183,68,"Spanish Segunda División","LM","Spain","Right",3,72,62,61,66,34,60,2022,"MID"
"M. Anderson",66,73,1700000,4000,23,"1998-07-01","Aarhus GF",180,69,"Danish Superliga","CM","Iceland","Right",3,87,59,63,68,62,67,2022,"MID"
"Álex Martín",66,75,1800000,5000,23,"1998-01-25","RC Celta de Vigo",182,78,"Spain Primera Division","CB","Spain","Right",3,51,42,51,46,66,66,2022,"DEF"
"B. Cuesta",66,66,7e+05,500,32,"1988-12-20","FBC Melgar",180,76,"Peruvian Primera División","ST","Argentina","Right",4,69,67,53,60,26,67,2022,"FRD"
"Han Seung Gyu",66,70,1200000,3000,24,"1996-09-26","Suwon FC",174,65,"Korean K League 1","CAM","Korea Republic","Right",4,77,57,64,68,46,63,2022,"MID"
"Y. Maziz",66,71,1300000,5000,23,"1998-06-24","Seraing",175,68,"Belgian Jupiler Pro League","CAM","France","Right",3,66,63,68,68,32,56,2022,"MID"
"S. Kurt",66,68,1100000,6000,26,"1995-03-02","Adana Demirspor",178,72,"Turkish Süper Lig","CM","Germany","Right",4,62,65,67,68,59,65,2022,"MID"
"J. Nerwinski",66,66,850000,2000,26,"1994-10-16","Vancouver Whitecaps FC",183,79,"USA Major League Soccer","RB","United States","Right",2,78,31,56,58,64,72,2022,"DEF"
"N. Tella",66,78,2100000,10000,21,"1999-07-05","Southampton",173,70,"English Premier League","LM","England","Right",2,86,57,56,69,31,54,2022,"MID"
"T. Shimakawa",66,66,6e+05,1000,31,"1990-05-28","Sagan Tosu",180,75,"Japanese J. League Division 1","CDM","Japan","Right",2,60,55,57,57,64,70,2022,"MID"
"T. Figueroa",66,78,2100000,5000,22,"1999-06-13","Pachuca",172,55,"Mexican Liga MX","RM","Mexico","Left",3,69,59,63,69,25,50,2022,"MID"
"F. Rogic",66,66,850000,3000,28,"1993-06-14","AIK",182,77,"Swedish Allsvenskan","CM","Sweden","Right",4,69,59,61,67,61,77,2022,"MID"
"A. Badji",66,73,1700000,2000,23,"1997-10-10","Amiens SC",189,75,"French Ligue 2","ST","Senegal","Right",3,83,66,41,64,26,80,2022,"FRD"
"A. Mehremic",66,67,8e+05,2000,29,"1992-04-26","Wisla Kraków",189,85,"Polish T-Mobile Ekstraklasa","CB","Bosnia and Herzegovina","Left",3,74,32,48,56,66,72,2022,"DEF"
"L. Šimic",66,67,925000,2000,24,"1996-07-15","Zaglebie Lubin",195,89,"Polish T-Mobile Ekstraklasa","CB","Croatia","Right",2,48,34,43,44,67,70,2022,"DEF"
"S. Twine",66,75,1900000,3000,21,"1999-07-14","Milton Keynes Dons",174,69,"English League One","CM","England","Right",3,81,66,65,69,56,48,2022,"MID"
"A. Al Joui",66,66,925000,10000,26,"1995-03-02","Al Shabab",171,67,"Saudi Abdul L. Jameel League","LM","Saudi Arabia","Right",3,81,62,61,68,24,45,2022,"MID"
"M. Sylla",66,76,1900000,4000,21,"1999-11-25","FC Utrecht",181,70,"Holland Eredivisie","ST","France","Right",3,82,63,54,70,22,56,2022,"FRD"
"T. Arano",66,66,850000,2000,28,"1993-04-20","Hokkaido Consadole Sapporo",180,72,"Japanese J. League Division 1","CM","Japan","Right",3,66,64,65,69,55,70,2022,"MID"
"Y. Kawai",66,66,7e+05,2000,31,"1989-08-04","Shimizu S-Pulse",166,59,"Japanese J. League Division 1","CM","Japan","Right",4,53,61,66,67,61,48,2022,"MID"
"R. Shirasaki",66,66,850000,3000,28,"1993-05-18","Sagan Tosu",181,70,"Japanese J. League Division 1","LM","Japan","Right",4,68,65,64,65,52,66,2022,"MID"
"K. Kitagawa",66,70,1200000,8000,24,"1996-07-26","SK Rapid Wien",180,74,"Austrian Football Bundesliga","ST","Japan","Right",4,79,64,49,70,35,60,2022,"FRD"
"I. Zhigulev",66,71,1200000,3000,25,"1996-02-01","Zaglebie Lubin",174,71,"Polish T-Mobile Ekstraklasa","CM","Russia","Right",3,75,59,63,66,63,67,2022,"MID"
"L. Ritzka",66,73,1600000,5000,23,"1998-05-07","FC St. Pauli",182,78,"German 2. Bundesliga","LB","Germany","Left",3,75,46,59,62,60,67,2022,"DEF"
"W. Smallbone",66,77,1900000,10000,21,"2000-02-21","Southampton",173,61,"English Premier League","CM","Republic of Ireland","Right",4,67,62,64,72,57,46,2022,"MID"
"J. Wehrmann",66,76,1800000,4000,22,"1999-03-25","FC Luzern",180,71,"Swiss Super League","CDM","Netherlands","Right",3,65,55,64,65,61,61,2022,"MID"
"Lee You Hyeon",66,72,1300000,3000,24,"1997-02-08","Jeonbuk Hyundai Motors",179,74,"Korean K League 1","RB","Korea Republic","Right",4,78,41,59,65,60,74,2022,"DEF"
"C. Borchgrevink",66,77,1800000,1000,22,"1999-05-11","Vålerenga Fotball",182,72,"Norwegian Eliteserien","RB","Norway","Right",4,71,50,61,61,61,66,2022,"DEF"
"J. Familia-Castillo",66,76,1800000,5000,21,"2000-01-13","Birmingham City",175,77,"English League Championship","LB","Netherlands","Left",2,79,53,62,67,57,72,2022,"DEF"
"M. Coulibaly",66,77,1900000,5000,22,"1999-02-03","US Salernitana 1919",183,77,"Italian Serie A","CM","Senegal","Right",3,75,59,65,66,64,72,2022,"MID"
"K. Velde",66,75,1900000,1000,21,"1999-09-09","FK Haugesund",179,65,"Norwegian Eliteserien","LM","Norway","Right",3,81,62,57,69,33,63,2022,"MID"
"J. Rankin-Costello",66,76,1800000,8000,21,"1999-07-26","Blackburn Rovers",183,64,"English League Championship","RB","England","Right",4,75,55,60,67,64,66,2022,"DEF"
"J. Sagredo",66,67,9e+05,500,27,"1994-03-10","Club The Strongest",179,67,"Liga de Fútbol Profesional Boliviano","LB","Bolivia","Left",2,74,30,51,61,61,58,2022,"DEF"
"T. Kiss",66,82,2200000,2000,20,"2000-11-24","SC Cambuur",167,58,"Holland Eredivisie","LW","Hungary","Right",3,86,62,60,66,29,45,2022,"FRD"
"S. Tigges",66,73,1800000,13000,22,"1998-07-31","Borussia Dortmund",193,90,"German 1. Bundesliga","ST","Germany","Left",4,57,67,55,55,42,79,2022,"FRD"
"D. Hägele",66,66,575000,3000,32,"1989-02-23","FC Würzburger Kickers",186,76,"German 3. Bundesliga","CDM","Germany","Right",4,59,58,63,62,61,73,2022,"MID"
"A. Sicker",66,71,1200000,2000,24,"1997-04-17","SV Sandhausen",184,67,"German 2. Bundesliga","LB","Germany","Left",3,89,31,57,64,56,61,2022,"DEF"
"J. Lorch",66,68,975000,2000,25,"1995-12-02","Viktoria Köln",188,79,"German 3. Bundesliga","CDM","Germany","Right",4,65,46,58,60,65,76,2022,"MID"
"K. Tshiembe",66,70,1100000,4000,24,"1997-03-31","Brøndby IF",185,80,"Danish Superliga","CB","Denmark","Right",3,74,40,54,63,62,75,2022,"DEF"
"H. Wright",66,74,1900000,4000,23,"1998-03-27","Antalyaspor",193,90,"Turkish Süper Lig","ST","United States","Right",4,77,66,48,64,22,72,2022,"FRD"
"M. Nadé",66,75,1800000,7000,22,"1999-03-04","AS Saint-Étienne",188,80,"French Ligue 1","CB","France","Right",2,36,30,34,51,67,76,2022,"DEF"
"J. Verlaat",66,70,1100000,1000,25,"1996-06-04","SV Waldhof Mannheim 07",192,91,"German 3. Bundesliga","CB","Netherlands","Right",3,49,26,43,47,66,75,2022,"DEF"
"T. Baumgart",66,72,1400000,3000,23,"1997-11-12","FC Erzgebirge Aue",181,74,"German 2. Bundesliga","RM","Germany","Right",3,74,58,58,66,33,67,2022,"MID"
"Q. Maceiras",66,71,1200000,5000,25,"1995-10-10","BSC Young Boys",180,75,"Swiss Super League","RB","Switzerland","Right",3,81,57,60,66,62,69,2022,"DEF"
"N. Ortiz",66,69,1e+06,500,26,"1995-03-04","Universidad Técnica de Cajamarca",188,82,"Peruvian Primera División","CB","Argentina","Right",3,61,30,50,43,65,64,2022,"DEF"
"Conrado",66,69,1100000,2000,24,"1997-04-03","Lechia Gdansk",174,72,"Polish T-Mobile Ekstraklasa","LB","Brazil","Left",3,81,56,59,66,59,59,2022,"DEF"
"R. Scheu",66,66,925000,2000,26,"1995-02-16","1. FC Saarbrücken",175,74,"German 3. Bundesliga","RM","Germany","Right",4,78,56,58,64,54,75,2022,"MID"
"R. Harper",66,75,1900000,3000,21,"2000-03-08","Ipswich Town",188,76,"English League One","CM","England","Right",3,68,53,64,68,60,72,2022,"MID"
"L. Daschner",66,73,1700000,5000,22,"1998-10-01","FC St. Pauli",182,76,"German 2. Bundesliga","CAM","Germany","Right",4,72,61,62,67,48,63,2022,"MID"
"K. Boateng",66,72,1200000,2000,24,"1996-11-29","Santa Clara",191,78,"Portuguese Liga ZON SAGRES","CB","Ghana","Right",3,68,41,41,46,65,75,2022,"DEF"
"B. Wiles",66,75,1900000,3000,22,"1999-04-17","Rotherham United",172,66,"English League One","CM","England","Right",3,71,55,64,69,61,72,2022,"MID"
"S. Schimmer",66,67,1e+06,8000,27,"1994-04-28","1. FC Heidenheim 1846",185,87,"German 2. Bundesliga","ST","Germany","Right",4,65,67,42,62,29,73,2022,"FRD"
"Á. Pizzorno",66,67,8e+05,500,29,"1991-10-21","Sociedad Deportiva Aucas",185,82,"Ecuadorian Serie A","CB","Uruguay","Left",3,69,36,50,55,68,65,2022,"DEF"
"Z. Arsenic",66,68,9e+05,3000,27,"1994-06-02","Raków Czestochowa",187,75,"Polish T-Mobile Ekstraklasa","CB","Croatia","Right",3,70,39,56,59,65,74,2022,"DEF"
"M. Seegert",66,69,975000,1000,27,"1994-04-29","SV Waldhof Mannheim 07",186,76,"German 3. Bundesliga","CB","Germany","Right",4,66,34,52,56,65,72,2022,"DEF"
"S. Demhasaj",66,70,1200000,5000,25,"1996-04-19","Grasshopper Club Zürich",191,78,"Swiss Super League","ST","Kosovo","Right",3,64,69,46,65,29,58,2022,"FRD"
"S. Quiroga",66,67,975000,4000,27,"1994-06-07","Club Atlético Sarmiento",162,62,"Argentina Primera División","CAM","Argentina","Right",3,75,55,65,70,60,58,2022,"MID"
"L. Ndenbe",66,73,1600000,2000,21,"2000-02-09","En Avant de Guingamp",174,73,"French Ligue 2","LB","Belgium","Left",3,76,30,58,66,61,69,2022,"DEF"
"R. Herrmann",66,66,9e+05,3000,27,"1993-08-10","FC Würzburger Kickers",181,73,"German 3. Bundesliga","LM","Germany","Left",4,74,50,64,68,52,62,2022,"MID"
"S. Schön",66,79,2100000,2000,20,"2000-09-27","FC Dallas",173,63,"USA Major League Soccer","LW","Hungary","Left",3,79,60,58,70,28,47,2022,"FRD"
"V. Jensen",66,78,2100000,3000,21,"2000-02-08","Ajax",175,70,"Holland Eredivisie","CAM","Denmark","Right",4,71,58,63,69,41,54,2022,"MID"
"B. Manu",66,72,1400000,4000,24,"1997-03-28","SV Darmstadt 98",170,70,"German 2. Bundesliga","LM","Germany","Right",4,92,58,54,70,35,65,2022,"MID"
"D. McNamara",66,73,1600000,4000,22,"1998-12-27","Millwall",174,72,"English League Championship","RWB","Republic of Ireland","Right",2,78,38,55,62,61,63,2022,"DEF"
"J. Pius",66,70,1100000,6000,25,"1995-12-20","Sint-Truidense VV",193,74,"Belgian Jupiler Pro League","CB","Nigeria","Right",2,52,46,48,54,66,71,2022,"DEF"
"B. Henning",66,68,1100000,2000,26,"1995-03-19","Eintracht Braunschweig",173,72,"German 3. Bundesliga","CM","Germany","Right",3,71,52,59,71,60,68,2022,"MID"
"J. Löhmannsröben",66,66,725000,1000,30,"1991-04-21","Hallescher FC",186,87,"German 3. Bundesliga","CDM","Germany","Right",3,52,46,60,55,62,83,2022,"MID"
"W. Kanga",66,73,1700000,5000,23,"1998-02-21","BSC Young Boys",189,90,"Swiss Super League","ST","France","Right",4,72,63,59,68,24,62,2022,"FRD"
"M. Eisa",66,67,1e+06,4000,26,"1994-07-12","Milton Keynes Dons",183,70,"English League One","ST","Sudan","Right",3,81,64,51,66,24,63,2022,"FRD"
"B. Rubio",66,73,1700000,4000,24,"1996-11-09","Mazatlán Futbol Club",186,80,"Mexican Liga MX","ST","Mexico","Right",3,71,64,51,66,27,74,2022,"FRD"
"A. Barylla",66,70,1100000,2000,24,"1997-06-01","FC Erzgebirge Aue",180,84,"German 2. Bundesliga","RB","Germany","Right",2,69,44,56,60,62,75,2022,"DEF"
"D. Erdogan",66,69,1200000,4000,24,"1996-08-22","Gazisehir Gaziantep F.K.",182,79,"Turkish Süper Lig","CM","Turkey","Right",3,64,54,65,66,60,69,2022,"MID"
"S. Puttkammer",66,66,550000,850,32,"1988-09-30","SV Meppen",192,81,"German 3. Bundesliga","CB","Germany","Right",1,41,26,45,45,66,74,2022,"DEF"
"M. Siplak",66,68,975000,3000,25,"1996-02-02","Cracovia",184,80,"Polish T-Mobile Ekstraklasa","LB","Slovakia","Left",3,72,33,55,64,61,74,2022,"DEF"
"N. Casale",66,76,1800000,6000,23,"1998-02-14","Hellas Verona",191,80,"Italian Serie A","CB","Italy","Right",3,63,43,57,59,65,71,2022,"DEF"
"S. Sessegnon",66,80,2e+06,10000,21,"2000-05-18","Fulham",174,68,"English League Championship","RB","England","Right",4,72,33,53,62,62,59,2022,"DEF"
"V. Mpindi Ekani",66,71,1200000,3000,24,"1997-02-27","SønderjyskE",190,82,"Danish Superliga","CDM","Cameroon","Right",3,62,47,57,64,61,81,2022,"MID"
"F. Brandhof",66,71,1300000,4000,24,"1996-07-05","Aarhus GF",182,80,"Danish Superliga","CM","Denmark","Right",3,69,59,66,67,58,76,2022,"MID"
"D. Rasak",66,69,1e+06,2000,25,"1996-02-08","Wisla Plock",184,77,"Polish T-Mobile Ekstraklasa","CDM","Poland","Right",2,70,52,58,62,62,76,2022,"MID"
"A. Fontana",66,73,1700000,2000,21,"1999-10-14","Philadelphia Union",173,68,"USA Major League Soccer","CAM","United States","Right",4,72,63,62,68,46,61,2022,"MID"
"S. Karamoko",66,66,775000,2000,28,"1992-07-29","AS Nancy Lorraine",170,65,"French Ligue 2","RB","France","Right",3,87,38,55,66,59,72,2022,"DEF"
"F. Downes",66,74,1800000,7000,22,"1999-01-20","Swansea City",173,70,"English League Championship","CDM","England","Right",3,68,53,63,65,64,71,2022,"MID"
"R. Kerrouche",66,67,975000,2000,27,"1994-04-26","USL Dunkerque",184,73,"French Ligue 2","CM","France","Left",3,65,54,62,66,65,68,2022,"MID"
"M. Tchokounté",66,66,7e+05,2000,32,"1988-09-11","USL Dunkerque",188,90,"French Ligue 2","ST","France","Right",2,40,66,52,62,23,79,2022,"FRD"
